,text,humor,y_pred_base
160001,Remember when people used to have to be in shape to wear tank tops  ?  ,True,False
160006,Do infants have as much fun in infancy as adults do in adultery  ?  ,True,False
160028,Birth certificate your birth certificate is an apology letter from the condom factory,True,False
160040,"I am nothing  ,   yet i am all i can think about",False,True
160102,"Wait  .   if toyotas cannot stop accelerating  ,   cannot they theoretically be used for space travel  ?  ",True,False
160103,From scandalous calvin klein model to emmy winning costume designer  .    .    .   how did i do it  ?  ,False,True
160111,"Political ads may be annoying  ,   but there is a reason they are everywhere  :   they work",False,True
160115,"God is pretty creative  .   i mean  ,   look at me  .  ",True,False
160116,When your body is a solid 10 but your intro and conclusion need work,True,False
160221,"I do not believe in god  ,   but i f  *    *  king love holiday music",False,True
160252,Ariana grande looks like she was designed in a lab by japanese perverts,True,False
160253,Folks try a drunk driving simulator and it is a total buzz kill,False,True
160303,"If you are happy and you know it  ,   share your meds",True,False
160310,The whip was especially popular in the 1800  '  s,True,False
160339,What is it like making a terrence malick movie  ?   we asked   '  knight of cups  '   star freida pinto,False,True
160345,One out of five dentists has the courage to speak their own mind,True,False
160361,New subway slogan idea from jared 12 is the new 18,True,False
160372,The easiest way to water plants is  .    .    .  using a turkey baster  ?  ,False,True
160383,What is this   '  wrong hole  '   you people speak of  ?  ,True,False
160429,People tweeted old notes they wrote on their phones and they are beyond,False,True
160531,Can you solve these mysteries of travel  ?     (  let us see how you do  .    )  ,False,True
160536,Can february march  ?   no  .   but april may  .   yep  .  ,True,False
160572,The boomerang is australia  '  s chief export   (  and then import  )  ,True,False
160628,Weed is out of the bag  .    .    .   what is next  ?   how soon  ?  ,False,True
160635,Marriage  .    .    .   or a life  ?    can you have both  ?  ,False,True
160836,Your mother is a 10 on the richter scale when she walks,True,False
160864,"Dear lunch ladies  ,   thank you  .   sincerely  ,   the parents  .  ",False,True
160878,Fighter  .   liberator  .   ungovernable woman  .   mother of a nation  .   and a wife too  .  ,False,True
160879,"Oh no  ,   here come the nintendo police  !   wii you  ,   wii you  ,   wii you",True,False
160883,"What if everyone had only one true soul mate  ,   a random person somewhere in the world  ?  ",False,True
160918,Friday talking points   -    -   it is my party and i will cry if i want to,False,True
160920,Take your girl camping and your relationship will become more in tents  .   not sorry  .  ,True,False
160964,Okay  .    .    .  we have seen the 900 pics of your band  .   now show us the the three people in your audience  .  ,True,False
