,text,humor,y_pred
160040,"I am nothing  ,   yet i am all i can think about",False,True
160103,From scandalous calvin klein model to emmy winning costume designer  .    .    .   how did i do it  ?  ,False,True
160111,"Political ads may be annoying  ,   but there is a reason they are everywhere  :   they work",False,True
160120,"Like  ,   icarus  ,   these idiots flew too close to the sun",False,True
160183,Recipes galore  .    .    .   the path to a healthy life,False,True
160208,My stepdaughter wants nothing to do with me,False,True
160221,"I do not believe in god  ,   but i f  *    *  king love holiday music",False,True
160245,  '  i went to breakfast with friends while my husband was served divorce papers  '  ,False,True
160252,Ariana grande looks like she was designed in a lab by japanese perverts,True,False
160253,Folks try a drunk driving simulator and it is a total buzz kill,False,True
160274,"Do not fool yourself  ,   men are still overwhelmingly in charge",False,True
160303,"If you are happy and you know it  ,   share your meds",True,False
160310,The whip was especially popular in the 1800  '  s,True,False
160339,What is it like making a terrence malick movie  ?   we asked   '  knight of cups  '   star freida pinto,False,True
160345,One out of five dentists has the courage to speak their own mind,True,False
160361,New subway slogan idea from jared 12 is the new 18,True,False
160372,The easiest way to water plants is  .    .    .  using a turkey baster  ?  ,False,True
160379,"Out here  ,   no one can hear you scream",False,True
160429,People tweeted old notes they wrote on their phones and they are beyond,False,True
160433,How do you determine child support and alimony  ?  ,False,True
160439,True story  :   the rooster who went to vegas for halloween,False,True
160446,High blood pressure rates  :   which state has the highest hypertension rate  ?  ,False,True
160520,Do you live in the most expensive dorm in the country  ?  ,False,True
160531,Can you solve these mysteries of travel  ?     (  let us see how you do  .    )  ,False,True
160572,The boomerang is australia  '  s chief export   (  and then import  )  ,True,False
160575,Real equality is when women have the right to be as drunk and stupid as men,False,True
160576,What is it like to eat the world  '  s hottest chili pepper  ?  ,False,True
160587,Who is in charge  ?   are you a wimpy parent  ?  ,False,True
160628,Weed is out of the bag  .    .    .   what is next  ?   how soon  ?  ,False,True
160635,Marriage  .    .    .   or a life  ?    can you have both  ?  ,False,True
160679,Warning  :   you will never get these items through customs  !  ,False,True
160706,Where is the god of   '  the least of these  ?    '  ,False,True
160812,"Netanyahu is an ass  ,   but he is my ass",False,True
160864,"Dear lunch ladies  ,   thank you  .   sincerely  ,   the parents  .  ",False,True
160878,Fighter  .   liberator  .   ungovernable woman  .   mother of a nation  .   and a wife too  .  ,False,True
160883,"What if everyone had only one true soul mate  ,   a random person somewhere in the world  ?  ",False,True
160894,Three cheers for intentions and why i prefer them over affirmations,False,True
160987,"These are our relationships as depicted by food  ,   because mmmm",False,True
