model,epoch,runtime(s),loss,accuracy,val_loss,val_accuracy
baseline,1,269,0.1296,0.9569,0.0884,0.9643
baseline,2,248,0.0632,0.9798,0.0922,0.9717
baseline,3,196,0.0390,0.9885,0.1366,0.9633
baseline,4,196,0.0402,0.9891,0.1810,0.9510
baseline,5,196,0.0266,0.9930,0.2394,0.9563
colbert_full,1,798,0.2051,0.9249,0.0823,0.9687
colbert_full,2,668,0.0588,0.9814,0.0887,0.9723
colbert_full,3,668,0.0290,0.9913,0.0949,0.9787
colbert_full,4,527,0.0158,0.9951,0.1223,0.9760
colbert_full,5,671,0.0033,0.9988,0.1371,0.9797
colbert_2sent,1,238,0.2701,0.8853,0.1319,0.9570
colbert_2sent,2,144,0.0995,0.9690,0.1557,0.9487
colbert_2sent,3,207,0.0559,0.9856,0.1322,0.9623
colbert_2sent,4,201,0.0325,0.9928,0.1378,0.9673
colbert_2sent,5,145,0.0188,0.9942,0.1854,0.9663
colbert_doc,1,265,0.2020,0.9200,0.1263,0.9587
colbert_doc,2,250,0.0589,0.9829,0.1216,0.9633
colbert_doc,3,252,0.0341,0.9909,0.1238,0.9723
colbert_doc,4,253,0.0164,0.9950,0.1185,0.9733
colbert_doc,5,253,0.0164,0.9950,0.1185,0.9733
