model,epoch,runtime(s),loss,accuracy,val_loss,val_accuracy
1,1,269,0.1296,0.9569,0.0884,0.9643
1,2,248,0.0632,0.9798,0.0922,0.9717
1,3,196,0.0390,0.9885,0.1366,0.9633
1,4,196,0.0402,0.9891,0.1810,0.9510
1,5,196,0.0266,0.9930,0.2394,0.9563
2,1,798,0.2051,0.9249,0.0823,0.9687
2,2,668,0.0588,0.9814,0.0887,0.9723
2,3,668,0.0290,0.9913,0.0949,0.9787
2,4,527,0.0158,0.9951,0.1223,0.9760
2,5,671,0.0033,0.9988,0.1371,0.9797
3,1,265,0.2020,0.9200,0.1263,0.9587
3,2,250,0.0589,0.9829,0.1216,0.9633
3,3,252,0.0341,0.9909,0.1238,0.9723
3,4,253,0.0164,0.9950,0.1185,0.9733
3,5,250,0.0104,0.9968,0.1423,0.9737
